1
100 10000 10000
26 24 207 999
69 88 117 6
40 6 38 999
61 71 132 996
68 66 140 992
92 82 7 996
99 81 73 1000
87 57 157 990
83 76 105 996
93 42 45 996
24 9 58 998
32 35 243 997
15 65 130 1000
11 61 13 997
30 37 164 992
77 80 35 992
87 57 20 994
14 97 79 999
42 89 95 990
22 41 44 998
9 28 36 998
25 7 161 998
90 39 144 999
13 29 66 990
57 96 16 997
27 69 19 992
57 96 34 992
14 97 134 992
62 8 209 998
90 39 35 996
13 29 42 999
92 82 242 991
26 24 153 1000
57 96 158 1000
80 46 242 994
61 71 204 996
78 87 133 998
8 43 72 999
68 66 75 995
62 8 107 998
93 42 21 994
64 18 57 997
57 96 83 990
89 83 117 994
75 84 248 997
36 94 233 990
24 9 159 996
25 7 22 997
89 83 220 991
36 94 75 995
78 87 223 1000
93 42 125 998
2 34 27 995
6 31 122 995
68 66 150 1000
14 97 3 990
31 15 165 993
14 97 188 993
53 63 249 996
75 84 59 997
36 94 199 998
44 95 72 994
19 56 65 993
24 9 188 990
1 68 46 995
63 93 129 996
62 8 112 994
63 93 170 999
72 48 119 991
22 41 32 999
22 41 141 990
46 49 67 997
94 54 201 996
86 85 79 992
37 4 53 998
64 18 100 998
79 91 66 990
59 5 44 990
32 35 93 994
27 69 220 990
43 17 186 990
71 52 24 992
27 69 109 995
51 50 202 991
43 17 89 991
49 2 111 998
92 9 237 991
43 17 125 999
53 63 150 992
96 70 229 998
87 57 15 996
33 10 217 998
71 52 147 998
5 74 56 992
56 36 126 994
11 61 99 997
55 100 191 990
49 2 51 999
47 16 43 993
53 63 220 993
66 77 193 997
19 56 140 999
44 95 210 993
5 74 86 992
24 9 55 996
74 23 118 990
59 5 32 999
99 81 225 998
85 47 227 1000
27 69 236 993
33 10 61 996
65 45 93 992
75 84 81 1000
33 10 105 996
47 16 239 999
32 35 132 991
37 4 156 998
40 6 49 998
20 3 202 994
70 99 79 999
93 42 243 991
58 80 139 996
54 78 33 993
40 6 228 996
68 66 181 1000
68 66 195 998
27 69 102 993
51 50 75 990
61 71 30 1000
95 88 140 996
63 93 74 994
51 50 242 1000
46 49 107 998
15 65 119 995
47 16 121 993
31 15 145 994
69 12 179 991
99 81 217 1000
32 35 93 1000
45 14 90 993
45 14 169 998
87 57 206 998
28 53 55 992
45 14 95 992
27 69 190 1000
32 35 117 996
14 97 228 997
8 43 76 997
62 8 19 999
70 99 1 999
57 96 247 997
75 84 111 991
80 46 231 997
34 64 169 998
16 38 57 995
11 61 36 998
89 83 246 999
95 88 142 999
87 57 231 1000
72 48 191 991
2 34 63 998
22 41 182 996
92 82 87 997
4 90 22 995
5 74 130 990
22 41 235 999
39 44 214 992
12 60 203 997
8 43 112 995
42 89 120 993
83 76 24 999
60 26 128 1000
45 14 104 1000
87 57 121 993
67 25 17 997
27 69 135 993
83 76 18 998
83 76 222 997
83 76 74 993
16 38 27 990
52 22 207 995
54 78 20 991
36 11 208 994
73 98 47 995
76 75 220 997
60 26 186 998
40 6 25 991
93 42 152 997
86 85 241 997
62 8 217 999
30 37 57 990
86 85 2 994
10 73 93 993
32 35 221 999
22 87 189 10
8 43 162 1000
70 99 196 998
96 70 12 992
26 73 105 10
19 56 220 991
73 98 244 995
99 81 245 997
55 100 136 991
21 40 116 999
95 23 37 8
63 93 180 997
70 99 132 990
87 57 228 992
62 8 245 996
82 51 97 994
10 73 101 996
77 80 49 991
14 97 197 997
52 22 66 993
9 28 223 994
9 28 183 994
17 55 154 993
44 95 26 990
4 90 165 991
90 39 133 992
87 57 225 999
49 2 182 990
35 58 92 1000
93 42 163 999
62 8 123 996
52 22 213 997
61 71 213 994
95 88 167 997
60 26 62 999
67 25 144 997
66 77 180 992
60 26 128 998
49 2 187 996
19 56 95 997
97 19 182 992
13 29 223 999
8 43 199 992
26 24 5 993
52 22 50 993
50 72 36 991
99 81 130 991
42 89 249 997
48 11 31 996
60 26 151 998
46 49 146 996
86 85 112 995
15 65 159 993
18 27 237 990
64 18 27 999
27 69 105 994
52 22 9 998
79 91 20 996
34 64 222 991
95 88 233 997
36 94 112 994
93 42 165 993
15 65 3 1000
55 100 137 997
7 59 141 994
49 2 202 1000
98 92 219 998
37 4 30 993
14 97 40 992
83 76 65 990
38 67 21 990
54 78 95 997
27 69 114 995
52 22 135 998
65 45 155 997
65 45 180 997
23 21 32 996
45 14 222 994
15 65 131 993
17 55 124 990
38 67 193 995
54 78 190 997
76 75 180 992
69 12 86 991
4 90 163 999
76 75 77 994
47 16 172 993
10 73 39 1000
82 51 125 990
85 47 228 994
42 89 31 993
19 56 140 998
33 10 60 994
22 41 187 997
65 45 44 991
59 5 196 995
44 95 179 990
64 18 189 993
77 80 242 1000
69 12 81 1000
5 74 70 995
32 35 13 990
19 56 82 998
6 31 220 990
55 100 38 995
61 71 174 992
99 81 33 1000
25 7 80 992
78 87 8 995
98 92 245 999
30 37 41 996
43 17 166 998
27 69 22 990
78 87 18 998
79 91 69 994
3 13 209 990
65 45 98 993
4 90 241 994
99 81 76 991
27 69 234 1000
53 63 27 992
69 12 165 994
64 18 166 990
22 41 247 999
45 14 248 993
65 45 30 991
71 52 143 1000
14 97 76 992
25 7 129 994
82 51 54 994
44 95 35 996
5 74 105 994
50 72 209 994
98 92 232 999
31 15 33 992
7 59 186 996
36 94 32 992
98 92 162 994
42 89 54 997
30 37 16 1000
74 23 105 990
27 69 47 991
91 32 27 996
93 42 68 994
32 35 7 994
45 14 147 995
91 32 33 999
46 49 14 998
87 57 70 998
6 31 232 999
12 60 89 996
78 87 212 996
23 21 192 996
34 64 96 992
91 32 71 994
66 77 125 999
90 39 1 992
19 56 138 995
16 38 225 997
35 58 28 993
47 16 235 994
49 2 249 1000
26 24 242 990
37 4 161 996
97 19 2 996
11 61 66 1000
28 53 17 996
87 57 61 996
81 100 95 1
9 28 118 991
56 36 5 990
66 77 33 999
99 81 228 990
11 61 75 995
5 74 128 997
28 53 54 999
12 60 206 991
69 12 169 998
18 27 43 1000
93 42 159 991
2 34 26 992
62 8 127 995
62 8 241 994
65 45 145 991
59 5 15 995
24 9 135 992
18 27 207 993
39 44 108 992
96 70 105 997
99 81 220 998
13 29 206 997
80 46 203 998
20 3 161 992
4 90 101 1000
56 36 211 996
99 81 200 993
63 93 83 997
82 51 105 1000
65 45 14 996
80 46 81 995
68 86 34 991
2 34 249 992
72 48 36 994
33 10 95 996
90 39 154 994
21 12 40 7
94 54 143 994
28 53 207 991
56 36 51 993
87 57 144 999
18 27 47 992
45 14 16 995
12 60 159 996
72 48 26 994
98 92 162 997
71 52 25 997
2 34 181 1000
55 100 196 992
94 54 245 998
27 69 82 993
14 97 190 995
13 29 141 995
46 49 26 991
3 13 235 993
11 61 64 995
49 2 246 997
21 40 64 992
3 13 114 999
60 26 3 996
62 8 76 996
9 28 82 996
38 67 217 994
59 5 175 990
83 76 87 999
98 92 89 992
12 60 219 990
35 58 54 1000
55 100 177 996
42 89 142 994
59 5 112 1000
18 27 29 991
86 85 45 994
11 61 63 1000
45 14 197 998
47 16 209 994
43 17 118 997
33 10 23 991
69 12 177 993
13 29 97 998
41 20 46 990
69 12 76 991
40 6 186 995
8 43 233 990
43 17 82 991
99 81 247 1000
24 31 161 998
78 87 159 997
83 61 3 10
95 88 186 995
22 41 4 993
2 34 90 991
2 34 158 998
63 93 8 993
50 72 116 990
90 39 205 990
4 90 202 990
46 49 131 999
73 98 87 998
11 61 51 993
37 4 201 999
98 92 152 991
1 68 188 994
98 92 217 995
28 53 206 995
1 68 164 998
78 87 26 997
72 48 120 997
48 11 233 992
4 90 138 993
10 73 4 996
60 26 65 995
28 53 190 992
66 77 185 991
24 9 136 991
50 72 11 992
15 65 137 994
83 76 82 996
41 20 241 998
4 90 199 993
83 76 65 996
59 5 1 991
56 89 179 3
40 6 99 995
68 66 22 996
27 69 13 991
98 92 165 996
1 68 220 990
34 64 24 995
19 42 96 3
11 61 68 990
26 24 153 993
15 65 83 991
28 53 88 1000
27 69 117 999
12 60 116 992
86 85 160 992
41 20 169 990
20 3 235 994
74 23 90 991
24 9 20 999
63 93 220 996
6 31 128 998
68 66 30 995
90 39 147 992
63 93 111 991
84 62 15 999
12 60 225 1000
18 27 157 991
71 52 167 992
69 12 229 996
89 83 47 1000
26 24 201 998
39 44 103 998
95 88 176 991
98 92 155 995
76 75 215 992
67 25 154 996
60 26 81 996
89 83 157 990
71 52 145 994
17 55 229 993
69 12 198 992
33 10 194 991
89 83 49 997
90 39 67 999
90 39 63 998
60 26 163 997
74 23 131 998
59 5 124 994
25 7 180 998
20 3 228 996
56 36 37 993
85 47 41 990
30 37 138 991
40 6 148 995
98 92 131 990
88 33 16 998
44 95 195 996
28 53 187 999
14 97 206 1000
60 26 150 993
95 88 11 990
41 20 80 995
34 64 90 994
68 66 222 999
56 36 193 990
92 82 133 991
75 84 172 998
8 43 182 993
50 63 206 1000
55 100 165 991
46 49 154 1000
19 56 51 997
52 22 241 997
14 97 46 1000
16 38 235 991
95 88 71 998
67 25 164 998
91 32 55 997
51 50 171 996
11 61 42 990
83 76 120 999
26 24 103 999
84 62 4 991
84 62 101 991
47 16 134 990
78 87 114 1000
14 97 164 991
79 91 104 992
32 35 110 996
65 45 54 998
19 56 146 1000
39 44 239 998
93 42 113 993
91 32 132 999
63 93 48 1000
76 75 175 991
26 24 150 996
39 44 225 992
68 66 180 995
7 59 197 995
46 49 243 994
58 30 74 996
71 52 236 996
34 64 61 992
55 100 77 998
70 99 21 1000
84 62 150 996
28 53 216 996
80 46 138 993
54 78 172 992
5 74 23 991
49 2 195 993
73 98 141 997
28 53 165 998
85 47 209 1000
3 13 151 991
65 45 177 990
2 34 173 999
91 32 181 998
28 53 9 999
41 20 148 992
79 91 213 995
1 68 98 995
97 19 249 997
92 82 236 997
63 93 221 1000
7 59 153 990
77 80 64 996
95 88 42 995
99 81 15 994
68 66 123 998
75 84 220 998
58 30 173 990
42 89 198 994
72 48 143 999
73 98 34 995
11 61 213 999
73 98 175 997
57 96 76 995
65 45 43 1000
35 58 99 991
3 13 53 993
88 33 31 993
16 38 227 993
79 91 2 993
2 34 152 995
11 61 169 994
73 98 218 996
22 41 107 993
80 46 139 1000
62 8 221 998
37 4 207 992
31 15 73 990
44 95 196 994
91 32 130 994
42 89 18 994
1 68 169 999
61 71 214 992
57 96 25 998
27 69 4 996
33 10 168 997
58 30 160 995
82 51 142 992
65 45 163 999
59 5 12 993
76 75 157 999
32 35 211 994
65 28 63 8
82 51 14 1000
94 54 218 995
66 77 240 995
49 2 67 998
43 17 204 1000
9 28 225 999
16 38 57 992
23 21 146 990
28 53 27 993
50 72 193 996
97 19 128 993
24 9 217 1000
10 73 47 995
27 69 80 994
49 2 101 998
39 44 94 993
84 62 19 996
36 94 48 991
10 73 107 991
28 53 92 992
5 74 138 995
11 61 80 994
69 12 75 994
61 71 35 991
12 60 124 998
61 71 135 990
84 62 173 993
60 26 179 997
44 95 236 991
19 56 44 993
76 75 192 996
66 77 115 990
51 50 18 999
99 81 66 997
15 65 84 992
65 45 225 993
26 24 155 1000
64 18 65 1000
89 11 16 9
95 88 29 992
16 38 10 994
32 35 40 996
33 10 82 990
25 7 12 996
53 63 167 998
23 21 55 990
59 5 105 992
6 31 90 992
10 73 206 997
45 14 106 993
33 10 14 997
3 13 174 999
54 78 189 997
27 69 25 1000
42 89 195 1000
69 12 17 996
3 13 212 991
88 33 164 994
40 6 39 996
60 26 4 990
40 6 126 1000
32 35 89 994
86 85 130 995
22 41 5 992
14 97 94 992
96 70 5 991
72 48 9 994
78 87 85 1000
57 96 36 995
51 50 38 999
18 27 28 995
14 97 39 990
1 68 44 995
36 94 142 991
48 11 1 994
4 90 143 999
93 42 219 992
67 25 135 998
87 57 215 998
56 36 162 991
26 24 115 993
7 59 53 995
6 31 120 995
43 17 32 994
19 56 37 999
33 10 19 996
66 77 185 993
32 35 206 995
19 56 246 998
60 26 43 991
94 54 222 995
86 85 166 992
21 40 231 994
46 49 214 996
22 41 58 995
36 94 138 998
1 68 6 998
7 59 122 999
34 64 248 994
61 71 223 996
80 46 137 998
2 34 3 990
63 93 111 993
73 98 64 995
11 61 117 999
44 95 139 991
1 68 217 995
3 13 69 996
52 22 13 998
12 60 2 992
83 76 31 998
19 56 186 998
11 61 17 993
38 67 83 991
75 54 36 995
57 96 15 992
24 9 27 993
24 9 206 999
47 16 34 994
95 88 194 994
88 33 140 993
79 91 161 994
10 73 235 992
90 39 197 1000
85 47 103 993
26 24 5 990
2 34 238 993
83 76 239 990
36 94 216 996
83 76 122 991
58 30 201 998
59 5 93 999
74 23 35 997
3 13 64 990
68 66 168 998
79 91 21 996
87 57 208 999
24 9 175 990
18 5 227 991
73 98 229 994
41 20 141 996
65 45 95 997
63 93 28 999
2 34 245 990
63 93 47 990
64 18 29 990
55 100 97 997
32 35 45 993
68 66 64 996
36 94 60 990
92 82 78 993
9 28 9 995
25 7 151 990
40 6 186 994
24 9 78 996
54 78 123 993
67 25 4 999
90 39 74 990
93 42 31 999
7 59 125 992
91 32 40 993
65 45 45 998
32 35 139 992
20 3 152 993
22 41 8 996
17 13 72 10
67 25 198 1000
88 33 225 995
20 3 217 992
77 80 12 995
25 7 193 994
3 13 55 999
66 77 168 999
55 100 37 992
16 38 107 999
32 35 145 995
55 100 206 991
13 29 84 996
71 52 67 996
82 51 129 993
77 80 152 990
61 71 149 998
12 33 234 7
94 54 24 997
24 9 250 995
10 73 20 993
1 68 117 991
15 65 150 993
38 67 33 992
88 33 61 997
59 5 172 998
21 40 94 992
1 68 146 992
75 84 93 991
89 83 6 995
67 25 85 991
11 61 197 999
49 2 136 1000
69 12 28 993
92 82 141 993
3 13 210 998
75 84 61 996
63 93 117 998
28 53 117 996
82 51 144 1000
27 69 141 998
50 72 21 991
28 53 177 991
58 30 211 990
33 10 24 990
64 18 186 995
80 46 220 994
74 23 76 996
68 66 181 992
37 4 235 994
56 36 222 992
19 56 123 997
22 41 71 995
63 93 238 995
3 13 245 992
2 34 111 994
9 28 90 991
36 94 24 998
55 100 74 997
53 63 136 991
15 65 46 998
4 90 65 991
59 64 158 9
70 99 3 991
84 62 42 990
74 23 122 993
40 6 7 997
73 98 30 996
10 73 185 996
47 16 241 992
93 42 64 994
27 69 175 996
35 58 179 1000
34 64 15 990
57 96 30 996
44 95 187 991
69 12 19 994
57 96 218 995
25 7 46 1000
97 19 71 996
96 70 192 1000
51 53 220 992
78 87 114 995
58 30 223 1000
99 81 204 998
3 13 195 999
38 46 89 6
47 16 135 997
63 93 141 991
92 82 41 996
65 45 67 1000
4 90 114 1000
27 69 114 994
4 90 180 999
6 31 116 995
80 46 226 991
39 44 102 991
6 31 112 1000
93 42 109 995
70 99 242 999
88 33 129 997
10 73 187 992
97 19 250 995
77 80 22 992
85 47 220 993
94 54 233 991
95 88 42 992
76 75 72 993
83 76 244 1000
94 54 219 998
65 45 46 1000
96 70 181 993
60 26 127 992
64 18 196 993
13 29 95 997
50 72 220 998
30 37 243 994
63 93 60 998
4 90 218 993
85 47 91 994
33 10 132 992
70 99 83 997
79 91 44 999
30 37 158 995
72 93 209 999
72 48 223 1000
25 7 14 996
62 8 182 996
3 13 34 998
72 48 179 994
57 96 202 991
82 51 171 990
28 53 128 994
58 30 126 995
97 19 213 995
88 33 21 997
48 11 160 990
48 11 217 996
43 17 88 997
4 90 81 991
30 67 177 8
5 74 181 1000
36 94 47 990
96 70 229 992
94 54 170 990
80 46 140 994
89 83 28 996
31 15 51 993
59 5 54 990
49 2 4 990
23 21 12 992
3 13 49 996
36 94 205 990
20 3 63 995
42 89 52 996
13 29 208 998
91 32 240 1000
10 73 82 994
83 76 164 996
77 80 186 998
25 7 168 993
46 49 85 994
18 27 168 991
97 19 15 999
40 6 183 998
39 44 181 994
14 97 183 996
33 10 209 994
43 17 80 991
3 13 13 990
97 19 30 999
28 53 232 996
4 90 62 998
1 68 129 990
36 94 106 1000
72 48 40 998
62 8 134 1000
26 6 24 993
68 66 163 998
83 76 246 999
31 15 124 999
40 6 45 992
15 65 89 990
1 68 102 993
70 99 74 996
28 53 2 993
54 71 81 1000
61 71 116 991
68 66 209 996
26 24 44 1000
46 49 31 991
54 78 205 991
55 100 192 993
17 55 78 994
92 82 195 997
54 78 148 1000
94 54 9 1000
50 72 116 994
61 71 101 1000
26 24 113 990
11 61 119 990
17 55 193 994
25 7 156 990
12 60 133 990
77 80 209 997
44 95 65 994
98 15 148 4
74 23 183 999
17 55 190 999
62 8 129 992
84 62 246 998
37 4 125 1000
14 97 157 993
89 83 53 995
88 21 129 4
21 40 221 997
16 38 215 994
94 54 107 996
72 48 170 996
13 29 135 995
58 30 3 992
96 70 196 1000
80 46 56 998
46 49 170 992
14 97 236 997
82 51 33 995
9 28 161 995
22 41 183 994
39 44 182 996
19 56 25 996
30 37 67 999
76 75 25 991
9 28 237 991
83 76 92 996
96 70 21 991
91 32 145 998
34 64 177 999
99 81 63 994
60 26 211 996
67 25 177 991
15 65 244 993
37 4 241 991
47 16 213 995
35 58 134 990
27 69 186 991
69 12 62 996
36 94 59 991
55 100 19 1000
82 51 97 997
96 70 241 997
23 21 151 991
48 11 11 990
85 47 219 998
59 5 19 997
86 85 237 990
85 47 127 1000
44 95 137 991
62 8 156 992
5 74 232 996
65 45 139 996
57 96 66 1000
25 7 21 991
57 96 212 998
18 27 230 991
96 70 182 997
14 97 111 992
66 77 203 995
60 26 132 994
52 22 89 1000
74 23 19 1000
72 48 6 999
89 83 152 997
45 14 100 998
78 87 187 995
10 73 202 997
87 57 160 991
21 40 218 991
57 96 136 1000
94 54 202 992
74 23 101 990
6 31 145 999
34 64 70 997
74 23 64 999
43 3 79 9
47 16 29 997
37 4 32 999
56 36 51 990
7 59 118 997
23 21 64 990
13 29 135 994
72 48 23 999
23 21 96 998
15 65 144 991
77 80 155 993
75 84 214 990
49 2 209 995
72 48 205 990
22 41 88 996
34 64 74 991
69 12 68 990
94 54 18 998
13 29 135 999
16 38 123 990
86 85 138 992
77 80 124 993
87 57 192 1000
3 70 224 10
39 44 110 991
44 95 57 993
49 2 178 991
34 64 6 990
33 10 186 993
88 33 173 991
93 42 153 994
85 47 55 991
83 76 5 998
64 18 2 995
94 54 211 993
24 9 167 991
85 47 44 991
24 9 81 996
19 56 158 994
94 54 181 1000
51 50 157 999
42 89 175 992
83 76 89 996
20 3 126 990
10 73 231 990
72 48 69 992
8 43 207 993
88 33 124 993
33 10 54 993
22 41 190 999
99 81 236 993
89 83 143 995
93 42 149 992
5 74 142 997
79 91 142 999
38 67 190 997
46 49 114 992
92 82 73 996
73 98 114 992
25 7 223 998
98 92 167 999
64 18 178 993
35 58 6 1000
49 2 146 993
92 82 176 997
68 66 199 993
87 57 46 996
33 10 78 995
77 80 141 993
74 27 80 4
10 73 129 997
63 93 131 990
32 35 172 1000
49 2 126 996
60 26 187 992
13 29 206 1000
24 9 6 994
61 71 184 998
96 70 81 997
79 91 144 994
45 14 93 996
44 95 114 994
64 18 118 994
21 40 99 990
47 16 136 999
17 55 127 999
20 8 232 999
94 54 202 995
35 58 66 999
99 81 21 996
22 41 173 998
48 11 64 996
43 17 123 992
93 42 73 990
27 69 68 990
91 32 247 998
79 1 205 996
3 13 221 990
91 32 142 990
21 40 103 1000
62 8 44 998
23 69 104 6
90 39 239 999
75 84 163 1000
32 35 50 997
90 39 126 994
13 29 118 996
75 84 15 992
94 54 235 998
80 46 61 991
78 87 102 997
56 36 243 993
58 30 92 991
93 42 163 998
51 50 18 995
18 27 30 994
91 32 184 993
76 75 2 991
89 83 61 998
55 100 27 998
8 43 210 998
62 8 161 992
58 30 106 1000
5 74 190 990
83 36 179 994
6 31 42 999
22 41 25 994
61 71 2 992
5 74 27 1000
40 6 225 998
19 56 218 991
51 50 49 994
83 76 59 997
22 41 156 998
98 92 56 997
16 38 138 997
9 28 159 994
64 18 193 995
37 4 212 992
16 38 155 1000
48 11 51 996
56 36 15 999
11 61 8 995
15 65 236 993
53 63 85 994
39 44 217 1000
34 64 48 995
88 33 73 994
33 10 237 1000
27 69 201 995
69 12 109 1000
75 84 139 999
44 95 45 995
80 46 202 993
44 95 32 992
24 9 68 994
39 44 219 992
4 90 122 999
98 92 80 999
41 20 46 990
83 76 123 997
95 88 113 994
63 93 64 991
17 55 64 991
75 84 232 995
83 76 176 999
78 87 208 992
11 61 214 1000
71 52 245 1000
84 62 44 991
59 5 116 995
35 77 41 997
77 80 98 993
88 33 208 994
24 9 108 1000
13 29 233 997
77 80 112 998
24 9 143 997
44 74 24 3
51 50 242 990
67 25 178 993
56 36 78 999
44 95 210 998
13 29 220 1000
95 88 107 995
70 99 81 995
71 52 147 991
36 94 208 996
43 17 86 995
8 43 243 994
24 9 139 998
34 64 114 994
15 65 55 994
79 91 234 997
95 88 241 1000
28 53 177 996
16 38 181 997
80 46 173 1000
71 52 219 999
51 50 114 992
98 92 179 990
86 85 206 995
32 35 106 1000
93 42 171 994
93 42 45 995
16 38 36 991
44 95 108 992
12 60 64 990
68 66 46 998
22 41 161 1000
35 58 186 999
56 36 185 999
52 22 230 992
42 89 106 1000
40 6 223 994
40 6 199 994
19 56 46 1000
65 45 156 994
84 62 203 993
69 12 120 997
16 38 214 996
45 14 168 993
53 63 167 995
96 20 135 992
54 78 46 995
63 93 100 994
99 81 115 996
80 46 57 993
71 52 106 996
32 35 165 994
48 11 110 998
78 87 137 994
88 33 220 998
91 32 136 991
30 37 132 991
61 71 231 995
13 29 17 994
2 34 104 997
4 90 11 999
72 48 116 994
89 83 213 993
46 49 127 995
13 29 118 994
94 54 169 994
31 15 125 991
39 44 239 995
3 13 168 995
59 5 18 991
16 38 127 997
28 53 60 996
62 8 46 997
18 27 68 990
35 58 74 993
10 73 193 998
17 55 76 993
58 30 80 992
3 13 238 990
54 78 153 991
19 56 199 992
20 3 96 1000
53 63 16 994
75 84 211 999
6 31 250 992
77 80 93 1000
34 64 171 996
28 53 147 998
91 32 66 999
74 23 124 999
40 6 123 990
61 71 173 996
66 77 58 999
72 48 7 996
41 20 139 1000
27 69 82 992
5 74 108 1000
47 16 167 996
52 22 16 996
70 99 30 995
2 34 46 991
80 46 152 990
96 70 140 992
68 66 196 996
58 30 216 995
33 10 145 998
83 76 154 993
10 73 8 992
74 23 27 990
30 37 77 998
36 94 90 996
70 99 41 995
71 52 13 994
77 80 4 997
26 24 31 995
10 73 149 994
4 90 61 990
26 24 57 991
31 15 93 997
36 94 65 994
46 49 44 991
65 45 132 992
38 67 168 991
8 43 78 990
39 44 168 995
46 49 36 994
42 89 43 1000
36 94 108 991
2 34 39 1000
91 32 161 995
96 70 104 990
33 10 220 992
